PaymentID,Donor Name,First Name,Last Name,Email,Date,Prize,Item Price,Item Fundraising Type,Quantity,Total Item Amount,RallyUp Fees,Processing Fees,Net Amount,Payment Type,Processing Type,Source,Currency,Fund Code,Type
10399808,Minney Mouse,Minney,Mouse,minney_mouse@email.com,1/20/2025 3:05:09 PM,5 nights in Aspen,5.00,Store,1,5.00,0.00000,-0.24667,4.75,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10459642,Mickey Mouse,Mickey,Mouse,mickey_mouse@email.com,1/31/2025 8:08:43 PM,(2) Coldplay tickets (take a coworker!),10.00,Store,1,10.00,0.00000,-0.37273,9.62,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10460365,Jane Doe,Jane,Doe,jane_doe@email.com,1/31/2025 9:25:18 PM,(2) Coldplay tickets (take a coworker!),10.00,Store,1,10.00,0.00000,-0.36500,9.63,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10460365,Jane Doe,Jane,Doe,jane_doe@email.com,1/31/2025 9:25:18 PM,(2) Coldplay tickets (take a coworker!),10.00,Store,1,10.00,0.00000,-0.36500,9.63,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10460365,Jane Doe,Jane,Doe,jane_doe@email.com,1/31/2025 9:25:18 PM,(2) VIP seats for the school concert,5.00,Store,1,5.00,0.00000,-0.18250,4.81,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467285,John Doe,John,Doe,john_doe@email.com,2/1/2025 11:47:54 PM,(4) Savannah Bananas Tickets,5.00,Store,1,5.00,0.00000,-0.18250,4.81,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467285,John Doe,John,Doe,john_doe@email.com,2/1/2025 11:47:54 PM,(1) 5 nights at a 5-star resort,5.00,Store,3,15.00,0.00000,-0.54750,14.45,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467325,Iron Man,Iron,Man,iron_man@email.com,2/1/2025 11:53:17 PM,"Family fun gift pack (Questing, mini golf, and bowling)",5.00,Store,3,15.00,0.00000,-0.48000,14.52,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467517,George Washington,George,Washington,george_washington@email.com,2/2/2025 12:40:28 AM,Private wine class for 20 people from Total Wine & More,10.00,Store,1,10.00,0.00000,-0.40571,9.59,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467541,Bluey Healer,Bluey,Healer,bluey_healer@email.com,2/2/2025 12:41:38 AM,"Family fun gift pack (Questing, mini golf, and bowling)",5.00,Store,1,5.00,0.00000,-0.23500,4.76,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467570,Iron Man,Iron,Man,iron_man@email.com,2/2/2025 12:49:06 AM,Valentine's Day Scratch Ticket Board,5.00,Store,5,25.00,0.00000,-0.78148,24.21,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467713,George Washington,George,Washington,george_washington@email.com,2/2/2025 1:17:55 AM,(1) 5 nights at a 5-star resort,5.00,Store,1,5.00,0.00000,-0.19364,4.80,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10467812,Minney Mouse,Minney,Mouse,minney_mouse@email.com,2/2/2025 1:36:14 AM,7-10 night stay in Antigua with Elite Island Resorts,10.00,Store,1,10.00,0.00000,-0.62000,9.38,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10468220,George Washington,George,Washington,george_washington@email.com,2/2/2025 2:49:53 AM,Principal for the Day,5.00,Store,5,25.00,0.00000,-1.10000,23.90,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
10468220,George Washington,George,Washington,george_washington@email.com,2/2/2025 2:49:53 AM,Principal for the Day,5.00,Store,5,25.00,0.00000,-1.10000,23.90,CreditCard,Direct Funds,Eventgroove Fundraising,USD,,Payment
